German,English
wärst,'d
steckst,'re stuck
dreimal,3 times
ein,a
eine,a
a,a
kopfschmerzen,a headache
längst,a long time ago
viel,a lot of
vielen,a lot of
aaron,aaron
fähigkeit,ability
fähig,able to
drüber,about it
darüber,about that
wovon,About what
worüber,about what
worum,about what
über,above
oben,above
fehlen,absence
absolut,absolutely
unbedingt,absolutely
durchaus,absolutely
absurd,absurd
akzent,accent
annehmen,accept
akzeptieren,accept
akzeptiert,accepted
übernommen,accepted
angenommen,accepted
zugang,Access
zugriff,access
unfall,accident
begleiten,accompany
konto,account
verfluchte,accursed
anklage,accusation
angeklagt,accused
gewöhnen,accustom
gegenüber,across from
wirken,Act
handeln,act
akt,act
aktion,action
action,action
vorgehen,Action
aktiviert,activated
schauspieler,actor
schauspielerin,actress
wirkt,acts
eigentlich,actually
adam,Adam
versetzt,added
weiteres,additional
adresse,address
eingestellt,adjusted
admiral,admiral
bewundere,admire
aufnahme,admission
zugeben,admit
erwachsene,adult
vorteil,advantage
abenteuer,adventure
werbung,advertising
rat,advice
affäre,affair
angelegenheiten,Affairs
leisten,Afford
afrika,Africa
hinterher,after
immerhin,after all
danach,after that
nachdem,after this
nachmittag,afternoon
wieder,again
erneut,again
nochmals,again
gegen,against
alter,Age
agent,agent
agenten,agents
zustimmen,agree
abmachung,agreement
ah,Ah
aha,Aha
vorne,ahead
voraus,ahead
voran,Ahead
ziele,aims
luft,air
air,air
flughafen,Airport
al,al
alan,alan
alarm,alarm
albert,albert
alkohol,alcohol
alex,Alex
alexander,Alexander
alf,alf
alfred,alfred
ali,ali
alibi,alibi
alice,alice
ausrichten,align
alison,alison
alle,all
ganz,all
ganzen,all
allen,all
allem,all
aller,all
gesamte,all
überall,all over
angeblich,allegedly
all,Alles
erlauben,allow
zulassen,allow
gestatten,allow
erlaubt,allowed
dürfen,allowed to
darfst,allowed to
allein,alone
alleine,alone
entlang,along
alpha,alpha
bereits,already
auch,also
obwohl,although
immer,always
stets,always
bin,am
stehe,am
amanda,amanda
tolle,amazing
erstaunlich,amazing
botschafter,ambassador
krankenwagen,ambulance
amen,Amen
amerika,America
amerikanische,American
amerikanischen,American
amerikaner,American
munition,ammunition
darunter,among them
menge,amount
amüsieren,amuse
amy,amy
vorfahren,ancestors
und,and
and,and
andrew,andrew
andy,andy
engel,Angel
angela,angela
angeles,angeles
zorn,anger
wütend,angry
sauer,angry
tier,animal
tiere,animals
anna,Ann
ann,ann
anne,anne
annie,annie
nerven,annoy
anderer,another
weiterer,Another
ans,ans
antwort,answer
beantworten,answer
antworte,answer
worten,answer
anthony,anthony
anton,anton
irgendwelche,any
irgendein,any
irgend,any
irgendeinem,any
irgendeinen,any
keinem,any
irgendeine,any
niemanden,anyone
irgendjemand,anyone
irgendwer,anyone
irgendwas,anything
irgendetwas,anything
sowieso,anyway
abgesehen,apart
auseinander,apart
apartment,apartment
entschuldigt,apologizes
apparat,apparatus
offenbar,apparently
anscheinend,apparently
erscheinen,appear
erscheint,appear
aussehen,appearance
schien,appeared
appetit,appetite
applaus,applause
antrag,application
gilt,applies
verabredet,appointment
angehen,approach
nähert,approaches
bestätigt,approved
etwa,approximately
ungefähr,approximately
april,April
archer,archer
sind,are
bist,are
seid,are
seien,are
fährst,are going
befinden,are located
gegend,area
gebiet,area
bereich,Area
streit,argument
ari,ari
bewaffnet,armed
armee,army
um,around
herum,around
verhaftet,arrested
festgenommen,arrested
ankunft,arrival
ankommen,arrive
angekommen,arrived
kunst,art
art.,art.
arthur,arthur
künstler,Artist
sowie,as
angeht,As for
solange,as long as
sobald,as soon as
ebenso,as well
asche,ash
fragen,ask
bitten,ask
fragst,ask
stellst,ask
gefragt,asked
gebeten,asked
bat,asked
fragte,asked
fragt,asks
bittet,asks
arsch,ass
esel,ass
arschloch,asshole
arschlöcher,assholes
auftrag,assignment
assistentin,assistant
versichere,assure
bei,at
gar,at all
überhaupt,at all
jederzeit,at any time
zuhause,At home
endlich,at last
wenigstens,at least
zumindest,at least
mindestens,at least
letztendlich,at long last
nachts,at night
am,at the
beim,at the
höchstens,at the most
angriff,attack
angreifen,attack
angegriffen,attacked
greift,attacks
versuch,attempt
vorsicht,Attention
aufmerksamkeit,attention
aufmerksam,attentively
einstellung,attitude
anziehen,attract
angezogen,attracted
attraktiv,attractive
zieht,attracts
au,au
publikum,audience
audrey,audrey
august,August
tante,aunt
autor,author
behörden,authorities
auto,automobile
avenue,avenue
vermeiden,avoid
wach,awake
bewusstsein,awareness
entfernt,away
hinweg,away
krass,awesome
furchtbar,awful
aye,aye
b,b
b.,b.
babe,babe
babys,Babies
schätzchen,baby
zurück,back
damals,back then
hintergrund,background
schlecht,bad
schlimm,bad
schlechte,bad
bösen,bad
schlechten,bad
schlechtes,bad
schlimmes,bad
schlimme,bad
mies,bad
böses,bad
böser,bad
pech,bad luck
unglück,bad luck
tasche,bag
sack,bag
gepäck,baggage
taschen,bags
köder,bait
baker,baker
ball,ball
bande,band
knall,bang
bank,Bank
bar,bar
barbara,barbara
kaum,barely
scheune,barn
barney,Barney
baron,baron
fass,barrel
barry,barry
basis,Base
keller,"basement, cellar"
bastard,bastard
schläger,bat
bad,bath
badezimmer,bathroom
schlacht,battle
sein,be
sei,be
be,be
schämen,be ashamed
heißen,be called
stimmen,be right
irren,be wrong
strand,Beach
ertragen,bear
bär,bear
bart,beard
bestie,beast
biest,beast
schlagen,beat
schlug,beat
schlägst,beat
klopfen,beat
verprügelt,beat
geschlagen,beaten
schlägt,beats
schon,beautiful
schön,beautiful
schönen,beautiful
wunderschön,beautiful
schönes,beautiful
wunderschöne,beautiful
schönheit,beauty
freu,became
denn,because
weil,because
wegen,because of
meinetwegen,because of me
deinetwegen,because of you
becky,becky
geworden,become
wird,becomes
bett,bed
schlafzimmer,bedroom
gewesen,been
worden,been
gestanden,been
bier,beer
bevor,before
vorher,before
zuvor,before
davor,before
wovor,before what
begonnen,began
beginnen,begin
start,begin
fängst,begin
anfang,Beginning
beginn,beginning
benehmen,behavior
verhalten,behavior
hinter,Behind
hinten,behind
dahinter,behind it
wesen,being
glauben,believe
geglaubt,believed
glaubt,believes
gehören,belong
gehörst,belong
gehöre,belong
gehörte,belonged
gehört,belongs
geliebten,beloved
unten,below
gürtel,belt
bauch,belly
ben,ben
nützt,benefits
benjamin,Benjamin
benny,benny
berlin,Berlin
bernard,bernard
daneben,Besides
beste,best
besten,best
bestes,best
bester,best
wette,bet
wetten,bet
beth,beth
verraten,betray
besser,better
besseres,better
bessere,better
besseren,better
zwischen,between
betty,betty
jenseits,beyond
bibel,Bible
fahrrad,bicycle
groß,big
big,big
größten,biggest
bill,bill
milliarden,billions
billy,billy
vogel,bird
vögel,birds
geburt,birth
geburtstag,birthday
miststück,bitch
beißen,bite
gebissen,bitten
schwarze,black
schwarzen,black
schwarz,black
black,black
schwarzer,black
klinge,blade
blair,blair
segne,bless
segen,blessing
blind,blind
block,block
blut,blood
blutdruck,blood pressure
schlag,blow
blasen,blow
blau,blue
blauen,blue
blue,blue
blaue,blueness
board.tv4user.de,board.tv4user.de
boot,boat
bob,bob
bobby,Bobby
körper,body
leib,body
bombe,bomb
bomben,bomb
knochen,bone
bonnie,bonnie
buch,book
bücher,Books
stiefel,Boots
grenze,border
grenzen,border
langweilig,boring
geboren,born
boss,boss
chef,boss
boston,Boston
beide,both
beiden,both
beides,both
störe,bother
flasche,bottle
flaschen,bottles
gekauft,Bought
kaufte,bought
gefesselt,bound
kiste,box
schachtel,box
junge,Boy
boy,boy
jungen,boys
brad,brad
hirn,brain
gehirn,brain
marke,brand
mutig,brave
tapfer,brave
bravo,Bravo
pause,Break
brechen,break
beenden,break up
frühstück,breakfast
bricht,breaks
titten,breasts
brüste,breasts
atem,breath
atme,breathe
atmet,breathes
brian,brian
braut,bride
brücke,bridge
hell,bright
brillant,brilliant
bringen,bring
bring,bring
bringe,bring
bringst,bring
mitbringen,bring
bringt,brings
sendung,broadcast
brach,broke
pleite,broke
kaputt,broken
gebrochen,Broken
bruders,brother
bruder,brothers
brüder,brothers
gebracht,brought
brachte,brought
mitgebracht,brought
geholt,brought
brachten,brought
brown,brown
bruce,bruce
putzen,brush
brutal,brutally
eimer,bucket
bud,bud
buffy,buffy
aufbauen,build up
gebäude,building
baut,builds
gebaut,built
aufgebaut,built up
bulle,bull
kugel,Bullet
stoßen,bump
einbruch,Burglary
verbrennen,burn
brennen,burn
brennt,burns
verbrannt,burnt
bus,bus
geschäft,business
betrieb,business
geschäfte,businesses
aber,but
doch,but
hintern,butt
butter,butter
kaufe,buy
kauft,buys
stimmengewirr,buzz
durch,by
per,by
by,by
indem,by doing
übrigens,by the way
apropos,by the way
nebenbei,by the way
aufgrund,by virtue of
womit,by which
woran,by which
tschüss,bye
tschüs,Bye
bye,bye
umgehen,bypass
c,c
c.,c.
schrank,cabinet
käfig,Cage
kuchen,cake
wade,calf
kalifornien,California
ruf,call
nennen,call
rufen,call
anrufen,call
rufe,call
anruf,Call
nenne,call
nenn,call
nennst,call
rufst,call
anzurufen,call
angerufen,called
namens,called
gerufen,called
genannt,called
ruft,calls
anrufe,Calls
ruhig,calm
beruhige,calm down
beruhigt,calmed down
gelassen,calmly
kam,came
gekommen,came
kamen,came
kamst,came
hergekommen,came here
kamera,camera
kameras,cameras
tarnung,camouflage
camp,camp
kann,can
können,can
kannst,can
könnt,can
can,can
kanada,Canada
aufgehoben,canceled
krebs,cancer
kanone,cannon
hut,cap
vermögen,capital
captain,captain
kapitän,captain
hauptmann,captain
gefangen,captured
karten,cards
gekümmert,care
karriere,Career
vorsichtig,carefully
carl,carl
carlos,carlos
carol,carol
caroline,caroline
teppich,carpet
carrie,carrie
getragen,carried
tragen,carry
durchführen,carry out
autos,cars
carter,carter
fall,case
falle,cases
fälle,cases
casey,casey
bargeld,Cash
castle,castle
katze,cat
katastrophe,catastrophe
erwischen,catch
fängt,catches
catherine,catherine
katzen,cats
vieh,cattle
erwischt,Caught
gefangenen,caught
geschnappt,caught
verursacht,caused
höhle,cave
decke,ceiling
feier,celebration
zelle,cell
cent,cent
mitte,center
zentrum,center
zentrale,central
jahrhundert,century
gewisse,certain
bestimmten,certain
bestimmte,certain
bestimmt,certainly
gewiss,certainly
ch00ffff,ch00ffff
kette,Chain
stuhl,chair
herausforderung,Challenge
champagner,champagne
chance,chance
ändert,change
verändern,change
veränderung,change
verändert,changed
geändert,changed
sender,Channel
kanal,channel
chaos,chaos
kapitel,chapter
zeichen,character
charakter,character
ladung,charge
charles,charles
charlie,charlie
charlotte,charlotte
charmant,charming
chase,chase
geiseln,chastise
billig,cheap
betrügen,cheat
betrogen,cheated
überprüfen,check
kontrollieren,check
scheck,check
prüfen,check
nachsehen,check
überprüft,checked
prost,cheers
käse,cheese
brust,chest
chffffff,chffffff
schicke,chic
chicago,Chicago
hühnchen,chicken
huhn,chicken
chief,chief
kind,child
kindes,child
kindheit,childhood
kinder,children
kindern,children
china,China
chinesen,chinese
chip,chip
chloe,chloe
schokolade,chocolate
wahl,choice
aussuchen,choose
wählen,choose
gewählt,chosen
chris,chris
christus,Christ
christian,Christian
christine,christine
weihnachten,Christmas
christopher,christopher
chuck,chuck
kirche,church
cia,cia
ciao,ciao
zigarette,Cigarette
zigaretten,cigarettes
cindy,cindy
kreis,circle
umständen,circumstances
umstände,circumstances
zirkus,circus
bürger,citizens
stadt,city
city,City
behaupten,claim
behauptet,claims
claire,claire
clara,clara
clarence,clarence
geklärt,clarified
klären,clarify
clark,clark
schließe,clasp
klasse,class
unterricht,classes
clay,clay
sauber,clean
klar,clear
deutlich,clear
räumen,clear
löschen,Clear
abhauen,clear out
eindeutig,clearly
schlau,clever
clever,clever
geschickt,cleverly
klienten,client
steigen,climb
klinik,clinic
uhr,Clock
nah,close
dicht,close
geschlossen,closed
eng,closely
näher,closer
schließ,closing
klamotten,clothes
kleider,clothes
clown,clown
club,club
coach,coach
kutsche,coach
kohle,coal
küste,coast
mantel,coat
code,code
kaffee,coffee
café,coffee shop
sarg,coffin
zufall,coincidence
zufällig,coincidentally
kalt,cold
kalte,cold
cole,cole
kollege,colleague
kollegen,colleagues
sammeln,collect
gefasst,collected
college,college
colonel,colonel
oberst,colonel
farbe,colour
farben,Colours
colt,colt
koma,coma
kommen,come
stammen,come
mitkommen,come along
wiederkommen,come back
zurückkommen,Come back
herkommen,come here
reinkommen,come in
los,Come on
rauskommen,come out
komm,come over
vorbeikommen,come round
einfallen,come to mind
bequem,comfortable
komische,comic
kommt,coming
kommst,coming
befehl,command
kommando,command
befohlen,commanded
commander,commander
kommandant,commander
befehle,commands
kommissar,commissioner
begehen,commit
einsatz,commitment
begangen,committed
verpflichtet,Committed
